Código área de residencia;Nombre área de residencia;Código área de destino;Nombre área de destino;Flujo origen-destino (nº de personas)
007S;Luisiana, La y Cañada Rosal;049S;Écija;488
007S;Luisiana, La y Cañada Rosal;OTRO;OTROS DESTINOS;562
007V;Simat de la Valldigna y Benifairó de la Valldigna;003V;Gandia (distritos 01 y 03);34
007V;Simat de la Valldigna y Benifairó de la Valldigna;007V;Simat de la Valldigna y Benifairó de la Valldigna;3.085
007V;Simat de la Valldigna y Benifairó de la Valldigna;010V;Genovés y otros municipios;40
007V;Simat de la Valldigna y Benifairó de la Valldigna;011V;Llutxent y otros municipios;37
007V;Simat de la Valldigna y Benifairó de la Valldigna;107V;Tavernes de la Valldigna;292
007V;Simat de la Valldigna y Benifairó de la Valldigna;142V;Gandia (distrito 02);41
007V;Simat de la Valldigna y Benifairó de la Valldigna;164V;Alzira;75
007V;Simat de la Valldigna y Benifairó de la Valldigna;OTRO;OTROS DESTINOS;482
008A;Elda (distritos 02 y 03);007A;Sax y Salinas;164
008A;Elda (distritos 02 y 03);008A;Elda (distritos 02 y 03);3.908
008A;Elda (distritos 02 y 03);032A;Campello, el;34
008A;Elda (distritos 02 y 03);046A;Monóvar/Monòver;155
008A;Elda (distritos 02 y 03);048A;Novelda;43
008A;Elda (distritos 02 y 03);054A;Petrer;348
008A;Elda (distritos 02 y 03);062A;Santa Pola;19
008A;Elda (distritos 02 y 03);064A;Villena;26
008A;Elda (distritos 02 y 03);083A;Elche/Elx (distrito 07 y sección 023 del distrito 06);54
008A;Elda (distritos 02 y 03);084A;Elda (distrito 01);148
008A;Elda (distritos 02 y 03);085A;Elda (distrito 04);292
008A;Elda (distritos 02 y 03);086A;Elda (distrito 05);93
008A;Elda (distritos 02 y 03);107A;Alicante (SCD Number 4-B);18
008A;Elda (distritos 02 y 03);108A;Alicante (SCD Number 4-C);21
008A;Elda (distritos 02 y 03);OTRO;OTROS DESTINOS;423
008B;Sant Vicenç de Castellet y otros municipios;001B;Sant Joan de Vilatorrada y otros municipios;26
008B;Sant Vicenç de Castellet y otros municipios;007B;Castellbell i el Vilar y otros municipios;195
008B;Sant Vicenç de Castellet y otros municipios;008B;Sant Vicenç de Castellet y otros municipios;7.381
008B;Sant Vicenç de Castellet y otros municipios;073B;Sant Salvador de Guardiola y Manresa (distrito 06);95
008B;Sant Vicenç de Castellet y otros municipios;104B;Pont de Vilomara i Rocafort, El;59
008B;Sant Vicenç de Castellet y otros municipios;117B;Sant Fruitós de Bages;66
008B;Sant Vicenç de Castellet y otros municipios;142B;Vacarisses;64
008B;Sant Vicenç de Castellet y otros municipios;253B;Manresa (distrito 02);55
008B;Sant Vicenç de Castellet y otros municipios;254B;Manresa (distritos 01 y 03);28
008B;Sant Vicenç de Castellet y otros municipios;255B;Manresa (distrito 04);82
008B;Sant Vicenç de Castellet y otros municipios;256B;Manresa (distrito 05);165
008B;Sant Vicenç de Castellet y otros municipios;306B;Terrassa (distrito 05);29
008B;Sant Vicenç de Castellet y otros municipios;OTRO;OTROS DESTINOS;1.348
008M;Cercedilla y Navacerrada;007M;Buitrago del Lozoya y otros municipios;41
008M;Cercedilla y Navacerrada;008M;Cercedilla y Navacerrada;6.137
008M;Cercedilla y Navacerrada;029M;Alpedrete;32
008M;Cercedilla y Navacerrada;031M;Becerril de la Sierra;72
008M;Cercedilla y Navacerrada;032M;Boalo, El;35
008M;Cercedilla y Navacerrada;040M;Colmenar Viejo;16
008M;Cercedilla y Navacerrada;041M;Collado Mediano;47
008M;Cercedilla y Navacerrada;045M;Galapagar;18
008M;Cercedilla y Navacerrada;047M;Guadarrama;149
008M;Cercedilla y Navacerrada;051M;Manzanares el Real;18
008M;Cercedilla y Navacerrada;055M;Molinos, Los;161
008M;Cercedilla y Navacerrada;057M;Moralzarzal;29
008M;Cercedilla y Navacerrada;066M;San Lorenzo de El Escorial;38
008M;Cercedilla y Navacerrada;072M;Torrelodones;16
008M;Cercedilla y Navacerrada;074M;Valdemorillo;17
008M;Cercedilla y Navacerrada;098M;Collado Villalba;104
008M;Cercedilla y Navacerrada;20SG;Real Sitio de San Ildefonso;42
008M;Cercedilla y Navacerrada;289M;Rozas de Madrid, Las (sección 032 y otras secciones del distrito 01);16
008M;Cercedilla y Navacerrada;OTRO;OTROS DESTINOS;835
008S;Rubio, El y Marinaleda;008S;Rubio, El y Marinaleda;4.209
008S;Rubio, El y Marinaleda;010S;Estepa y Lora de Estepa;138
008S;Rubio, El y Marinaleda;022S;Osuna y Lantejuela;65
008S;Rubio, El y Marinaleda;049S;Écija;192
008S;Rubio, El y Marinaleda;056S;Herrera;25
008S;Rubio, El y Marinaleda;OTRO;OTROS DESTINOS;304
008V;Manuel y otros municipios;008V;Manuel y otros municipios;3.534
008V;Manuel y otros municipios;009V;Pobla Llarga, la y otros municipios;200
008V;Manuel y otros municipios;010V;Genovés y otros municipios;55
008V;Manuel y otros municipios;030V;Catadau y otros municipios;34
008V;Manuel y otros municipios;037V;Llosa de Ranes, la y otros municipios;80
008V;Manuel y otros municipios;062V;Villanueva de Castellón;68
008V;Manuel y otros municipios;123V;Carcaixent;108
008V;Manuel y otros municipios;151V;Xàtiva;116
008V;Manuel y otros municipios;164V;Alzira;54
008V;Manuel y otros municipios;OTRO;OTROS DESTINOS;429
009A;Agost y Tibi;009A;Agost y Tibi;3.845
009A;Agost y Tibi;032A;Campello, el;40
009A;Agost y Tibi;033A;Castalla;109
009A;Agost y Tibi;042A;Ibi;97
009A;Agost y Tibi;045A;Monforte del Cid;35
009A;Agost y Tibi;047A;Mutxamel;19
009A;Agost y Tibi;083A;Elche/Elx (distrito 07 y sección 023 del distrito 06);19
009A;Agost y Tibi;094A;San Vicente del Raspeig/Sant Vicent del Raspeig (distrito 01);38
009A;Agost y Tibi;096A;San Vicente del Raspeig/Sant Vicent del Raspeig (distrito 03);88
009A;Agost y Tibi;107A;Alicante (SCD Number 4-B);22
009A;Agost y Tibi;112A;Alicante (SCD Number 6-B);22
009A;Agost y Tibi;116A;Alicante (SCD Number 8-B);193
009A;Agost y Tibi;OTRO;OTROS DESTINOS;684
009B;Hostalets de Pierola, Els y Bruc, El;002B;Òdena y otros municipios;39
009B;Hostalets de Pierola, Els y Bruc, El;009B;Hostalets de Pierola, Els y Bruc, El;2.403
009B;Hostalets de Pierola, Els y Bruc, El;011B;Sant Esteve Sesrovires y Sant Llorenç d'Hortons;41
009B;Hostalets de Pierola, Els y Bruc, El;046B;Abrera;39
009B;Hostalets de Pierola, Els y Bruc, El;064B;Collbató;53
009B;Hostalets de Pierola, Els y Bruc, El;068B;Esparreguera;63
009B;Hostalets de Pierola, Els y Bruc, El;074B;Igualada;58
009B;Hostalets de Pierola, Els y Bruc, El;081B;Martorell;43
009B;Hostalets de Pierola, Els y Bruc, El;083B;Masquefa;69
009B;Hostalets de Pierola, Els y Bruc, El;098B;Piera;187
009B;Hostalets de Pierola, Els y Bruc, El;174B;Barcelona (SCD la Marina i la Zona Franca-Port);21
009B;Hostalets de Pierola, Els y Bruc, El;OTRO;OTROS DESTINOS;928
009M;Robledo de Chavela y otros municipios;009M;Robledo de Chavela y otros municipios;5.136
009M;Robledo de Chavela y otros municipios;011M;Navalagamella y otros municipios;57
009M;Robledo de Chavela y otros municipios;043M;Escorial, El;46
009M;Robledo de Chavela y otros municipios;045M;Galapagar;16
009M;Robledo de Chavela y otros municipios;04AV;Cebreros y otros municipios;50
009M;Robledo de Chavela y otros municipios;066M;San Lorenzo de El Escorial;55
009M;Robledo de Chavela y otros municipios;06AV;Navas del Marqués, Las y Peguerinos;95
009M;Robledo de Chavela y otros municipios;074M;Valdemorillo;45
009M;Robledo de Chavela y otros municipios;097M;Boadilla del Monte;17
009M;Robledo de Chavela y otros municipios;098M;Collado Villalba;18
009M;Robledo de Chavela y otros municipios;OTRO;OTROS DESTINOS;778
009S;Gilena y Aguadulce;009S;Gilena y Aguadulce;4.001
009S;Gilena y Aguadulce;010S;Estepa y Lora de Estepa;95
009S;Gilena y Aguadulce;022S;Osuna y Lantejuela;180
009S;Gilena y Aguadulce;065S;Pedrera;64
009S;Gilena y Aguadulce;OTRO;OTROS DESTINOS;395
009V;Pobla Llarga, la y otros municipios;008V;Manuel y otros municipios;209
009V;Pobla Llarga, la y otros municipios;009V;Pobla Llarga, la y otros municipios;3.525
009V;Pobla Llarga, la y otros municipios;035V;Alcàntera de Xúquer y otros municipios;36
009V;Pobla Llarga, la y otros municipios;050V;Alberic y otros municipios;71
009V;Pobla Llarga, la y otros municipios;062V;Villanueva de Castellón;179
009V;Pobla Llarga, la y otros municipios;123V;Carcaixent;150
009V;Pobla Llarga, la y otros municipios;127V;Cullera;28
009V;Pobla Llarga, la y otros municipios;151V;Xàtiva;47
009V;Pobla Llarga, la y otros municipios;164V;Alzira;99
009V;Pobla Llarga, la y otros municipios;OTRO;OTROS DESTINOS;606
010A;Biar y otros municipios;010A;Biar y otros municipios;4.555
010A;Biar y otros municipios;026A;Banyeres de Mariola;191
010A;Biar y otros municipios;033A;Castalla;20
010A;Biar y otros municipios;064A;Villena;425
010A;Biar y otros municipios;116A;Alicante (SCD Number 8-B);23
010A;Biar y otros municipios;OTRO;OTROS DESTINOS;524
010B;Viladecavalls y Ullastrell;010B;Viladecavalls y Ullastrell;5.462
010B;Viladecavalls y Ullastrell;011B;Sant Esteve Sesrovires y Sant Llorenç d'Hortons;24
010B;Viladecavalls y Ullastrell;046B;Abrera;60
010B;Viladecavalls y Ullastrell;062B;Castellbisbal;75
010B;Viladecavalls y Ullastrell;068B;Esparreguera;28
010B;Viladecavalls y Ullastrell;081B;Martorell;34
010B;Viladecavalls y Ullastrell;093B;Olesa de Montserrat;44
010B;Viladecavalls y Ullastrell;098B;Piera;21
010B;Viladecavalls y Ullastrell;142B;Vacarisses;31
010B;Viladecavalls y Ullastrell;273B;Rubí (distrito 02);31
010B;Viladecavalls y Ullastrell;302B;Terrassa (distrito 01);81
010B;Viladecavalls y Ullastrell;303B;Terrassa (distrito 02);34
010B;Viladecavalls y Ullastrell;304B;Terrassa (distrito 03 y secciones 001 a 004 del distrito 07);138
010B;Viladecavalls y Ullastrell;305B;Terrassa (distrito 04);182
010B;Viladecavalls y Ullastrell;306B;Terrassa (distrito 05);172
010B;Viladecavalls y Ullastrell;307B;Terrassa (distrito 06);52
010B;Viladecavalls y Ullastrell;OTRO;OTROS DESTINOS;1.140
010M;Navas del Rey y Chapinería;010M;Navas del Rey y Chapinería;2.967
010M;Navas del Rey y Chapinería;011M;Navalagamella y otros municipios;47
010M;Navas del Rey y Chapinería;012M;Quijorna y otros municipios;57
010M;Navas del Rey y Chapinería;013M;Aldea del Fresno y Villamanta;76
010M;Navas del Rey y Chapinería;014M;San Martín de Valdeiglesias y Pelayos de la Presa;91
010M;Navas del Rey y Chapinería;033M;Brunete;26
010M;Navas del Rey y Chapinería;081M;Villaviciosa de Odón;23
010M;Navas del Rey y Chapinería;OTRO;OTROS DESTINOS;726
010S;Estepa y Lora de Estepa;008S;Rubio, El y Marinaleda;102
010S;Estepa y Lora de Estepa;009S;Gilena y Aguadulce;33
010S;Estepa y Lora de Estepa;010S;Estepa y Lora de Estepa;9.246
010S;Estepa y Lora de Estepa;011S;Casariche y Badolatosa;72
010S;Estepa y Lora de Estepa;022S;Osuna y Lantejuela;95
010S;Estepa y Lora de Estepa;049S;Écija;415
010S;Estepa y Lora de Estepa;056S;Herrera;100
010S;Estepa y Lora de Estepa;065S;Pedrera;30
010S;Estepa y Lora de Estepa;070S;Roda de Andalucía, La;120
010S;Estepa y Lora de Estepa;64CO;Puente Genil;113
010S;Estepa y Lora de Estepa;OTRO;OTROS DESTINOS;743
010V;Genovés y otros municipios;007V;Simat de la Valldigna y Benifairó de la Valldigna;29
010V;Genovés y otros municipios;008V;Manuel y otros municipios;29
010V;Genovés y otros municipios;010V;Genovés y otros municipios;3.292
010V;Genovés y otros municipios;037V;Llosa de Ranes, la y otros municipios;114
010V;Genovés y otros municipios;151V;Xàtiva;248
010V;Genovés y otros municipios;OTRO;OTROS DESTINOS;573
011A;Busot y otros municipios;011A;Busot y otros municipios;3.202
011A;Busot y otros municipios;022A;Alfàs del Pi, l';81
011A;Busot y otros municipios;024A;Altea;78
011A;Busot y otros municipios;029A;Calp;35
011A;Busot y otros municipios;032A;Campello, el;112
011A;Busot y otros municipios;039A;Finestrat;52
011A;Busot y otros municipios;044A;Jijona/Xixona;25
011A;Busot y otros municipios;047A;Mutxamel;116
011A;Busot y otros municipios;060A;Sant Joan d'Alacant;89
011A;Busot y otros municipios;063A;Villajoyosa/Vila Joiosa, la;203
011A;Busot y otros municipios;073A;Benidorm (distrito 01);73
011A;Busot y otros municipios;074A;Benidorm (distrito 02);206
011A;Busot y otros municipios;075A;Benidorm (distrito 03);35
011A;Busot y otros municipios;076A;Benidorm (distrito 04);55
011A;Busot y otros municipios;100A;Alicante (SCD Number 1);19
011A;Busot y otros municipios;107A;Alicante (SCD Number 4-B);39
011A;Busot y otros municipios;108A;Alicante (SCD Number 4-C);21
011A;Busot y otros municipios;OTRO;OTROS DESTINOS;420
011B;Sant Esteve Sesrovires y Sant Llorenç d'Hortons;009B;Hostalets de Pierola, Els y Bruc, El;31
011B;Sant Esteve Sesrovires y Sant Llorenç d'Hortons;010B;Viladecavalls y Ullastrell;20
011B;Sant Esteve Sesrovires y Sant Llorenç d'Hortons;011B;Sant Esteve Sesrovires y Sant Llorenç d'Hortons;5.713
011B;Sant Esteve Sesrovires y Sant Llorenç d'Hortons;012B;Gelida y Castellví de Rosanes;221
011B;Sant Esteve Sesrovires y Sant Llorenç d'Hortons;046B;Abrera;129
011B;Sant Esteve Sesrovires y Sant Llorenç d'Hortons;062B;Castellbisbal;53
011B;Sant Esteve Sesrovires y Sant Llorenç d'Hortons;068B;Esparreguera;61
011B;Sant Esteve Sesrovires y Sant Llorenç d'Hortons;081B;Martorell;294
011B;Sant Esteve Sesrovires y Sant Llorenç d'Hortons;083B;Masquefa;107
011B;Sant Esteve Sesrovires y Sant Llorenç d'Hortons;098B;Piera;57
011B;Sant Esteve Sesrovires y Sant Llorenç d'Hortons;109B;Sant Andreu de la Barca;36
011B;Sant Esteve Sesrovires y Sant Llorenç d'Hortons;126B;Sant Sadurní d'Anoia;91
011B;Sant Esteve Sesrovires y Sant Llorenç d'Hortons;OTRO;OTROS DESTINOS;1.048
011M;Navalagamella y otros municipios;009M;Robledo de Chavela y otros municipios;49
011M;Navalagamella y otros municipios;010M;Navas del Rey y Chapinería;28
011M;Navalagamella y otros municipios;011M;Navalagamella y otros municipios;3.402
011M;Navalagamella y otros municipios;012M;Quijorna y otros municipios;57
011M;Navalagamella y otros municipios;033M;Brunete;22
011M;Navalagamella y otros municipios;068M;Sevilla la Nueva;23
011M;Navalagamella y otros municipios;074M;Valdemorillo;143
011M;Navalagamella y otros municipios;078M;Villanueva de la Cañada;39
011M;Navalagamella y otros municipios;081M;Villaviciosa de Odón;22
011M;Navalagamella y otros municipios;097M;Boadilla del Monte;25
011M;Navalagamella y otros municipios;OTRO;OTROS DESTINOS;769
011S;Casariche y Badolatosa;010S;Estepa y Lora de Estepa;132
011S;Casariche y Badolatosa;011S;Casariche y Badolatosa;5.988
011S;Casariche y Badolatosa;049S;Écija;41
011S;Casariche y Badolatosa;070S;Roda de Andalucía, La;86
011S;Casariche y Badolatosa;58CO;Lucena;127
011S;Casariche y Badolatosa;64CO;Puente Genil;137
011S;Casariche y Badolatosa;OTRO;OTROS DESTINOS;459
011V;Llutxent y otros municipios;001V;Daimús y otros municipios;21
011V;Llutxent y otros municipios;003V;Gandia (distritos 01 y 03);27
011V;Llutxent y otros municipios;006V;Real de Gandía y otros municipios;43
011V;Llutxent y otros municipios;007V;Simat de la Valldigna y Benifairó de la Valldigna;17
011V;Llutxent y otros municipios;011V;Llutxent y otros municipios;3.581
011V;Llutxent y otros municipios;039V;Mogente/Moixent y otros municipios;105
011V;Llutxent y otros municipios;042V;Rótova y otros municipios;224
011V;Llutxent y otros municipios;043V;Pobla del Duc, la y otros municipios;99
011V;Llutxent y otros municipios;044V;Montaverner y otros municipios;48
011V;Llutxent y otros municipios;056V;Benigànim;24
011V;Llutxent y otros municipios;107V;Tavernes de la Valldigna;19
011V;Llutxent y otros municipios;159V;Ontinyent;77
011V;Llutxent y otros municipios;16CS;Almenara y Llosa, la;21
011V;Llutxent y otros municipios;OTRO;OTROS DESTINOS;680
012A;Alcoy/Alcoi (distrito 08) y Benifallim;012A;Alcoy/Alcoi (distrito 08) y Benifallim;7.112
012A;Alcoy/Alcoi (distrito 08) y Benifallim;013A;Benilloba y otros municipios;114
012A;Alcoy/Alcoi (distrito 08) y Benifallim;014A;Beniarrés y otros municipios;44
012A;Alcoy/Alcoi (distrito 08) y Benifallim;015A;Muro de Alcoy y otros municipios;62
012A;Alcoy/Alcoi (distrito 08) y Benifallim;032A;Campello, el;26
012A;Alcoy/Alcoi (distrito 08) y Benifallim;035A;Cocentaina;164
012A;Alcoy/Alcoi (distrito 08) y Benifallim;042A;Ibi;40
012A;Alcoy/Alcoi (distrito 08) y Benifallim;066A;Alcoy/Alcoi (distrito 01);98
012A;Alcoy/Alcoi (distrito 08) y Benifallim;067A;Alcoy/Alcoi (distrito 02);181
012A;Alcoy/Alcoi (distrito 08) y Benifallim;068A;Alcoy/Alcoi (distrito 03);53
012A;Alcoy/Alcoi (distrito 08) y Benifallim;069A;Alcoy/Alcoi (distrito 04);30
012A;Alcoy/Alcoi (distrito 08) y Benifallim;070A;Alcoy/Alcoi (distrito 05);126
012A;Alcoy/Alcoi (distrito 08) y Benifallim;071A;Alcoy/Alcoi (distrito 06);58
012A;Alcoy/Alcoi (distrito 08) y Benifallim;072A;Alcoy/Alcoi (distrito 07);101
012A;Alcoy/Alcoi (distrito 08) y Benifallim;OTRO;OTROS DESTINOS;548
012B;Gelida y Castellví de Rosanes;011B;Sant Esteve Sesrovires y Sant Llorenç d'Hortons;477
012B;Gelida y Castellví de Rosanes;012B;Gelida y Castellví de Rosanes;5.215
012B;Gelida y Castellví de Rosanes;081B;Martorell;172
012B;Gelida y Castellví de Rosanes;083B;Masquefa;58
012B;Gelida y Castellví de Rosanes;126B;Sant Sadurní d'Anoia;167
012B;Gelida y Castellví de Rosanes;OTRO;OTROS DESTINOS;1.356
012M;Quijorna y otros municipios;010M;Navas del Rey y Chapinería;50
012M;Quijorna y otros municipios;011M;Navalagamella y otros municipios;53
012M;Quijorna y otros municipios;012M;Quijorna y otros municipios;3.887
012M;Quijorna y otros municipios;033M;Brunete;47
012M;Quijorna y otros municipios;068M;Sevilla la Nueva;20
012M;Quijorna y otros municipios;074M;Valdemorillo;21
012M;Quijorna y otros municipios;078M;Villanueva de la Cañada;100
012M;Quijorna y otros municipios;081M;Villaviciosa de Odón;23
012M;Quijorna y otros municipios;088M;Alcorcón (distrito 01);20
012M;Quijorna y otros municipios;097M;Boadilla del Monte;50
012M;Quijorna y otros municipios;OTRO;OTROS DESTINOS;686
012S;Saucejo, El y otros municipios;010S;Estepa y Lora de Estepa;30
012S;Saucejo, El y otros municipios;012S;Saucejo, El y otros municipios;7.596
012S;Saucejo, El y otros municipios;013S;Pruna y otros municipios;30
012S;Saucejo, El y otros municipios;022S;Osuna y Lantejuela;130
012S;Saucejo, El y otros municipios;049S;Écija;37
012S;Saucejo, El y otros municipios;18MA;Sierra de Yeguas y otros municipios;95
012S;Saucejo, El y otros municipios;20MA;Teba y Almargen;37
012S;Saucejo, El y otros municipios;21MA;Burgo, El y otros municipios;37
